CD_TOKEN_PED;LATITUDE;LONGITUDE;ID_POSTO;NOME_FANTASIA;CIDADE
40;-22.9076830;-43.2190790;92946;Centro De Conveniencias Millennium Ltd;Rio De Janeiro
1;-23.5489;-46.6388;1300797;Auto Posto Vila Buarque Ltda;Sao Paulo
337737115;-10.1553557;-48.8838891;54054;Posto Milena Ltda;Paraiso Do Tocantins
562034696;-3.9036558;-42.23236;1304843;Maria De Jesus Carvalho Sampaio;Esperantina
360674657;-24.0324948;-46.4973165;1295205;Auto Posto Jeova - Jire Ltda Epp;Praia Grande
322047642;-23.5653152;-46.4842003;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
512856551;-23.56525421;-46.48426437;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
743565679;-23.5652097;-46.4842069;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
216581166;-23.5651795;-46.4842626;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
274347763;-23.4908895;-47.5037637;1278816;A P Dez De Sorocaba Ltda;Sorocaba
682414461;-23.5652167;-46.4842463;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
130961782;-23.5653152;-46.4842003;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
541161568;-9.6532474;-35.7003536;1304941;Auto Posto R2 Ltda;Maceio
900094319;-3.758954048;-38.63198853;1305065;Posto Rodrigo Ltda;Caucaia
373398315;-23.8890083;-46.4199646;1305330;Auto Posto Shalon Da Nove De Abril Ltda;Cubatao
828826110;-3.758883953;-38.63204575;1305065;Posto Rodrigo Ltda;Caucaia
887399764;-23.56521;-46.4841433;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
961307051;-23.56525421;-46.48426437;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
416839987;-7.1018133;-34.8384434;1304742;Posto Alternativa De Combs E Serv Ltda;Joao Pessoa
802781350;-19.83996582;-43.95090866;1305129;Planalto Posto De Servico Ltda;Belo Horizonte
858307717;-3.758891106;-38.63204193;1305065;Posto Rodrigo Ltda;Caucaia
535354171;-23.5651991;-46.4841673;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
653408097;-23.5651783;-46.4842529;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
937431410;-23.5652309;-46.484267;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
850601491;-23.5652068;-46.4841579;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
180022793;-23.5651991;-46.4841673;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
170405924;-23.5652264;-46.4842145;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
613976636;-23.5652175;-46.4842114;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
350851835;-23.5652043;-46.4842824;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
568272985;-23.5652136;-46.4841379;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
